recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-13T23:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,17.5
2021-01-13T23:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,14
2021-01-13T23:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,10.4
2021-01-13T23:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,8.7
2021-01-14T00:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,7.1
2021-01-14T00:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,6.4
2021-01-14T00:30:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.5
2021-01-14T00:45:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5.2
2021-01-14T01:00:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.7
2021-01-14T01:15:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,5
2021-01-14T03:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.9
2021-01-14T15:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,1.5
2021-01-14T15:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.1
2021-01-14T15:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.1
2021-01-14T15:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.3
2021-01-14T16:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.5
2021-01-14T16:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2
2021-01-14T16:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,1.5
2021-01-14T16:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.3
2021-01-14T17:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.9
2021-01-14T17:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.6
2021-01-14T17:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.8
2021-01-14T17:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,2.8
2021-01-14T18:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.3
2021-01-14T18:16:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
2021-01-14T18:31:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,3.9
2021-01-14T18:46:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4.2
2021-01-14T19:01:00Z,UTC,AudioMoth 24E144085F256717,medium,3.9,4
